Restframe [A],Line Name,Flux [erg/s/cm^2],Upper,Lower
923.148,Ly 923,1.738558577671081e-16,1.242458951585361e-16,8.547311176004151e-17
926.2489999999999,Ly 926,1.8520785234408563e-16,1.3015572390315055e-16,9.017082138576165e-17
930.7510000000001,Ly 930,2.2882263201004974e-16,1.6478537245136668e-16,1.0935983636884695e-16
937.814,Ly 937,3.074665769237157e-16,2.1274599548199499e-16,1.4429896233439856e-16
949.742,Ly delta 949,4.4307313441732465e-16,3.0083336384071845e-16,2.0432002197387546e-16
972.5169999999999,Ly gamma 972,4.46457068920495e-16,2.7323148338410327e-16,1.973855490903596e-16
1025.728,Ly beta 1025,6.883979364701725e-16,3.830810760286479e-16,2.807842457496561e-16
1215.6701,Ly alpha 1216,8.683921402181211e-13,3.452489167322754e-13,2.959513598444124e-13
1640.42,HeII 1640,1.0654457859996619e-16,3.3774971539790935e-17,2.478867591487157e-17
1661.241,OIII]1661,8.054087706331206e-18,6.609053799214681e-18,3.542969126851471e-18
1666.15,OIII]1666,1.9893044061920663e-17,1.6265448156849566e-17,8.76261176916176e-18
1812.205,[NeIII]1815,2.844731564094118e-18,1.873177274981182e-18,1.1722348394161664e-18
1854.7160000000001,[AlIII] 1855,1.8137563334363876e-16,5.5302617400887075e-17,4.510475242531044e-17
1862.7895,[AlIII] 1863,1.514745657387423e-16,4.9462403549681696e-17,4.013002669246061e-17
1906.68,[CIII],7.306054880954528e-16,4.22801415813984e-16,2.7143394264516947e-16
1908.73,[CIII],4.792835138351815e-16,2.7708136912660615e-16,1.7791830940152352e-16
2142.3,NII]2141,3.021433793982872e-16,8.140151458675006e-17,6.474740011111993e-17
2321.6639999999998,[OIII]2321,2.012316935177343e-17,1.1026876254187162e-17,7.06925380941201e-18
2324.21,CII]2326,1.5858462856916016e-16,4.6683592304770036e-17,3.634078723191013e-17
2325.4,CII]2326,3.4170521981949093e-16,1.0074799331110932e-16,7.841962492840305e-17
2326.11,CII]2326,1.7728931269297172e-15,5.187762582652854e-16,4.062269998590718e-16
2327.64,CII]2326,1.1568395038004516e-15,3.4018056067339616e-16,2.6476419573696887e-16
2328.83,CII]2326,3.575172384546633e-16,1.0497156445337784e-16,8.19237352278128e-17
2471.0879999999997,[OII]2471,1.1330324639967253e-15,3.3212174788669414e-16,2.5132044844120713e-16
2661.1459999999997,[AlII] 2660,1.1833788065599974e-15,3.273937129838793e-16,2.4516048516610387e-16
2669.9509999999996,[AlII] 2670,7.453122090940353e-16,2.056418832993198e-16,1.5319652998160212e-16
2796.3520000000003,MgII 2800,6.334062823790454e-15,1.4428270661030772e-15,1.1383066235049957e-15
2803.53,MgII 2800,3.2847740027327215e-15,7.378220388992143e-16,5.72948147899145e-16
3109.98,[ArIII]3110,7.579566035696916e-17,1.982983468369579e-17,1.609644746550584e-17
3343.5,[NeIII]3343,2.973964568213848e-18,1.6630309962254845e-18,1.2336421853150712e-18
3722.75,[SIII]3723,5.290439538167066e-16,1.1037588679795164e-16,7.71630994289282e-17
3727.1,[OII]3726,7.280803910149924e-14,1.1535703063051952e-14,9.948762504713807e-15
3729.86,[OII]3729,9.80221438238486e-14,1.546282213538942e-14,1.3485215562415124e-14
3798.987,H 3798,3.966623261589869e-15,8.600420424634052e-16,6.972526658354313e-16
3836.485,H 3835,5.3955719400883e-15,1.1760299393086134e-15,9.4125741075314e-16
3869.86,[NeIII]3870,8.232059123350698e-15,2.429571044322166e-15,1.735131654534307e-15
3889.75,HeI 3889,7.565849684366047e-15,1.7355130930941325e-15,1.3478009629100891e-15
3890.1659999999997,H 3889,7.690573691945425e-15,1.6749583427235906e-15,1.3375443503950316e-15
3968.59,[NeIII]3968,2.503507977930341e-15,7.310534770982908e-16,5.2990915230195225e-16
3971.198,H 3970,1.1674792463426431e-14,2.5492398838488464e-15,2.0160937878624395e-15
4069.75,[SII]4070,2.741423675846961e-15,4.1688033793943035e-16,3.823605578848222e-16
4077.5,[SII]4078,9.143118564333596e-16,1.388913043596695e-16,1.2733960767332762e-16
4102.892,H delta 4102,1.9176885441848673e-14,4.166863713332736e-15,3.2852228376099625e-15
4341.692,H gamma 4340,3.541444621922805e-14,7.534575892845455e-15,6.117714362146154e-15
4364.435,[OIII]4364,1.1781190769242786e-16,5.70287296268573e-17,4.072920275310651e-17
4472.735,HeI 4472,3.935253365142797e-15,9.676037700473714e-16,7.362067780275807e-16
4622.8640000000005,[CI]4621,1.53816184529877e-23,4.576710013454167e-24,3.3664993977098176e-24
4725.47,[NeIV]4720,1.7164538065560064e-24,5.650677956783261e-24,1.3533917791343104e-24
4862.71,H beta 4861,7.803878319967588e-14,1.6738768755181853e-14,1.3246891799592384e-14
4960.295,[OIII]4960,2.3698982895920904e-14,6.560530621355489e-15,5.025026169892172e-15
5008.24,[OIII]5007,7.145446308666143e-14,1.9786958260937102e-14,1.5126100467497548e-14
5193.27,[ArIII]5193,3.560802013405742e-17,7.948649457062323e-18,7.203960640307637e-18
5201.705,[NI]5200,7.87135060904848e-16,1.3965590601800422e-16,1.1335440709019322e-16
5519.241999999999,[ClIII]5518,2.7772945366172447e-16,4.377112309579609e-17,3.724890339528876e-17
5539.411,[ClIII] 5538,1.9869877098617472e-16,3.127979098302169e-17,2.6717325909634136e-17
5578.89,[OI]5578,6.306320479330291e-17,1.389851729766202e-17,1.39220442482539e-17
5756.19,[NII]5756,6.141586974485216e-16,8.669800870296483e-17,7.125877352000703e-17
5877.249,HeI 5877,1.256996393184109e-14,3.1527118674170426e-15,2.412359197735307e-15
6302.045999999999,[OI]6302,5.597299625676061e-15,8.380374885769282e-16,8.337025333474923e-16
6313.81,[SIII]6314,1.030289419021662e-15,1.8918952893693904e-16,1.4538086299227647e-16
6365.535,[OI]6365,1.7887911989909816e-15,2.682671091925224e-16,2.6718090793088763e-16
6549.86,[NII]6549,2.9843669565630666e-14,6.846458154788164e-15,5.245821586352644e-15
6564.6,H alpha 6563,2.491536256216454e-13,5.4569646392881927e-14,4.275885211845615e-14
6585.27,[NII]6585,8.81241583817666e-14,2.0253052906677176e-14,1.5474927395219312e-14
6679.995,HeI 6680,3.6832183714372385e-15,9.19734823196101e-16,7.015163906195125e-16
6718.294,[SII]6717,4.2295351135539144e-14,6.619324871504873e-15,5.427668153251433e-15
6732.673000000001,[SII]6732,3.282226873359998e-14,5.175269196415103e-15,4.238004197465733e-15
7067.138000000001,HeI 7065,1.8359765248232653e-15,4.1170844132505994e-16,3.218547810829234e-16
7137.77,[ArIII]7138,1.2701210450704338e-14,1.8019382385519754e-15,1.6422268899620207e-15
7321.94,[OII]7323,1.1553862913683533e-15,2.566428112392242e-16,2.3772971137675523e-16
7332.21,[OII]7332,9.39214192683373e-16,2.0861204865638773e-16,1.9325926875591532e-16
7334.17,[ArIV]7330,1.1217686841686364e-20,6.032386746930749e-21,3.876896701104316e-21
7753.19,[ArIII]7753,3.0987463406751758e-15,4.444921649842585e-16,4.0002183302051193e-16
8581.06,[ClII] 8579,7.395151869038905e-16,1.3083626915806754e-16,1.0341710981333178e-16
8729.53,[CI]8727,1.4228596055751007e-17,4.046288976333489e-18,3.2022069695667087e-18
9017.8,Pa 9015,1.6663619757822551e-15,3.538805216732553e-16,2.848341542669711e-16
9071.1,[SIII]9071,3.629391327679511e-14,6.508562764281472e-15,5.65857291633404e-15
